name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
Sorato Anraku,JPN,male,3835.0,2281.0,6508.0,,,
Dohyun Lee,KOR,male,3708.0,2123.0,4710.0,,,
Meichi Narasaki,JPN,male,3055.0,,,,,
Sohta Amagasa,JPN,male,2967.0,,,,,
Tomoa Narasaki,JPN,male,2459.0,415.0,2860.0,,,
Sam Avezou,FRA,male,2068.0,2977.0,3848.0,,,
Toby Roberts,GBR,male,1995.0,2380.0,6180.0,,,
Mejdi Schalck,FRA,male,1753.0,738.0,1923.0,26.0,10.0,23.33
Dayan Akhtar,GBR,male,1556.0,,,,,
Maximillian Milne,GBR,male,1528.0,75.0,1528.0,,,
Paul Jenft,FRA,male,1474.5,1200.0,3033.0,25.0,8.0,22.88
Manuel Cornu,FRA,male,1405.0,,,,,
Ritsu Kayotani,JPN,male,1293.0,,,,,
Yuji Fujiwaki,JPN,male,1291.0,,,,,
Anze Peharc,SLO,male,1283.0,162.0,947.0,21.0,,19.78
Adam Ondra,CZE,male,1185.0,1185.0,2918.0,29.0,388.0,25.54
Jongwon Chon,KOR,male,1051.5,208.0,1084.5,,,
Thomas Lemagner,FRA,male,1050.5,,,,,
Yannick Flohé,GER,male,893.0,943.0,2388.0,26.0,12.0,23.56
Oscar Baudrand,CAN,male,864.0,449.0,998.0,,,
Colin Duffy,USA,male,852.5,1610.0,3987.5,25.0,5.0,22.58
Adam Shahar,USA,male,850.5,,,,,
Samuel Richard,FRA,male,847.0,,,23.0,,21.5
Alberto Ginés López,ESP,male,831.0,1286.0,2579.0,25.0,14.0,22.62
Jakob Schubert,AUT,male,827.5,1000.0,3552.5,26.0,26.0,23.21
Jan-Luca Posch,AUT,male,795.5,,,24.0,1.0,23.33
Nikolay Rusev,BUL,male,761.5,78.0,720.5,26.0,7.0,23.0
Elias Arriagada Krüger,GER,male,722.5,,,25.0,1.0,21.4
Hannes Van Duysen,BEL,male,658.0,553.0,1308.0,19.0,,19.0
Sascha Lehmann,SUI,male,593.5,2068.0,2213.0,25.0,15.0,22.57
Ardch Intrachupongse,THA,male,584.0,,,,,
Leo Favot,FRA,male,581.0,,,,,
Gregor Vezonik,SLO,male,550.7,,,25.0,1.0,20.92
Thorben Perry Bloem,GER,male,545.5,,,,,
Timotej Romšak,SLO,male,531.5,,,,,
Yoshiyuki Ogata,JPN,male,513.2,1238.5,1441.2,,,
Oren Prihed,ISR,male,508.0,,,,,
Satone Yoshida,JPN,male,502.0,2069.0,1896.5,,,
Nicolai Uznik,AUT,male,467.5,158.0,467.5,24.0,2.0,21.56
Nicolò Sartirana,ITA,male,461.7,,,,,
Hamish Mcarthur,GBR,male,403.0,403.0,1766.0,,,
Alexander Megos,GER,male,378.0,1183.0,1883.0,26.0,99.0,23.97
Yufei Pan,CHN,male,367.0,446.0,1320.0,,,
Charles Barron,USA,male,362.0,,,22.0,,22.0
Benjamin Hanna,USA,male,359.5,6.7,363.2,,,
Julien Clémence,SUI,male,346.8,,,,,
Rei Sugimoto,JPN,male,325.0,,,,,
Nicolas Collin,BEL,male,321.0,243.0,378.0,15.0,,13.0
Kodai Yamada,JPN,male,318.7,,,,,
Max Kleesattel,GER,male,317.0,,,,,
Guillermo Peinado Franganillo,ESP,male,294.5,848.0,1085.0,21.0,,17.76
Slav Kirov,BUL,male,288.0,27.0,315.0,21.0,,18.94
Edvards Gruzitis,LAT,male,282.5,15.0,270.5,,,
Antoine Girard,FRA,male,275.0,,,19.0,,17.67
Luka Potocar,SLO,male,270.0,911.0,1413.0,,,
Matthew Rodriguez,CAN,male,267.5,,,,,
Filip Schenk,ITA,male,260.7,1123.0,969.7,25.0,13.0,22.36
Ziqi Xu,CHN,male,260.0,,,,,
Dylan Parks,AUS,male,255.3,24.0,255.0,26.0,8.0,23.24
Benjamin Vargas,CHI,male,248.5,22.0,258.5,20.0,,19.5
Junzhe Hu,CHN,male,236.5,69.3,302.5,,,
Malo Gilly-Eydoux,AUS,male,225.0,,,,,
Nimrod Marcus,ISR,male,222.5,216.0,222.5,,,
Yejun Chon,KOR,male,217.4,,,,,
Hugo Hoyer,USA,male,217.2,22.0,232.7,20.0,,17.36
Andreas Hofherr,AUT,male,216.5,,,,,
Simon Lorenzi,BEL,male,201.5,168.0,201.5,,,
Ram Levin,ISR,male,191.0,,,23.0,,19.27
Ido Fidel,ISR,male,185.7,,,,,
Luke Goh Wen Bin,SGP,male,181.0,4.0,178.0,,,
Jack Macdougall,GBR,male,178.0,51.0,178.0,,,
Yannick Nagel,GER,male,172.8,312.0,318.8,19.0,,16.09
Sam Lavender,AUS,male,171.0,,,,,
Diego Lequerica Buscaglia,PER,male,160.0,,,,,
Adrien Lemaire,FRA,male,154.5,,,,,
Geva Levin,ISR,male,154.0,10.0,150.5,,,
Lukas Mokrolusky,CZE,male,151.5,15.5,167.0,23.0,,20.33
Yunchan Song,KOR,male,151.0,151.0,151.0,,,
Campbell Harrison,AUS,male,146.5,26.0,597.5,,,
Jiahao Fu,CHN,male,145.0,,,,,
Christian Wagner,CHI,male,141.7,,,16.0,,13.58
Aiden Yanev,AUS,male,138.0,,,,,
Bharath Pereira,IND,male,137.0,1.0,138.0,,,
Alexander Waller,USA,male,130.0,,,24.0,2.0,20.13
Ravianto Ramadhan,INA,male,124.0,281.5,349.5,,,
Jonas Utelli,SUI,male,116.0,1207.0,1119.0,24.0,1.0,22.43
Louis Fechoz,AUS,male,115.0,,,,,
Taiga Sakamoto,JPN,male,112.5,,,,,
Keita Dohi,JPN,male,111.0,,,,,
Cheuk-Hei Ho,HKG,male,111.0,,,,,
Chih-En Fan,TPE,male,109.3,90.0,192.3,,,
Stefano Ghisolfi,ITA,male,109.0,1069.0,1069.0,28.0,90.0,25.24
Stefan Scherz,AUT,male,108.0,446.5,446.5,26.0,15.0,23.09
Simon Hibbeler,USA,male,108.0,,,,,
Cheung-Chi Shoji Chan,HKG,male,105.0,35.5,140.5,,,
Joaquin Urrutia,CHI,male,104.5,23.0,124.5,,,
Noé Moutault,FRA,male,104.0,,,,,
Maxim Pare,AUS,male,99.5,,,,,
Zan Lovenjak Sudar,SLO,male,99.0,31.0,99.0,24.0,1.0,21.52
Kito Martini,FRA,male,96.5,,,,,
Hannes Puman,SWE,male,95.0,158.0,174.0,23.0,,20.31
Tim Würthner,GER,male,94.0,,,22.0,,20.0
Raffael Gruber,AUT,male,85.7,,,19.0,,19.0
Niccolò Antony Salvatore,ITA,male,82.4,,,,,
Thor Villegas García,MEX,male,79.0,,,,,
Martin Bergant,SLO,male,74.0,118.3,115.0,25.0,4.0,21.95
Martin Stranik,CZE,male,74.0,526.0,480.0,21.0,,19.67
Timo Uznik,AUT,male,71.8,166.0,237.8,23.0,,20.46
Paul Brand,NED,male,71.0,,,22.0,,19.12
Marley Farquharson,AUS,male,69.0,,,,,
Rodrigo Iasi Hanada,BRA,male,67.0,19.5,86.5,23.0,,19.27
Nathan Martin,LUX,male,61.2,,,,,
Jinwei Yao,CHN,male,61.0,55.0,116.0,,,
Chi-Fung Au,HKG,male,58.0,,,,,
Joshua Damasco,AUS,male,57.0,,,,,
Simone Mabboni,ITA,male,57.0,,,,,
Raviandi Ramadhan,INA,male,56.0,258.0,278.0,,,
Zach Richardson,CAN,male,53.3,,,,,
Ka-Chun Yau,HKG,male,53.0,,,,,
Hugo Martín Álvarez,ESP,male,53.0,,,,,
Dillon Countryman,USA,male,52.0,,,,,
Yuval Shemla,ISR,male,51.0,355.0,344.0,20.0,,19.5
Alex Khazanov,ISR,male,49.0,49.0,49.0,25.0,6.0,22.77
Jesse Ruffini,AUS,male,48.0,,,,,
Pietro Vidi,ITA,male,41.0,,,25.0,9.0,22.26
Ronny Escobar,CHI,male,41.0,,,,,
Guy Mcnamee,CAN,male,40.5,2.0,42.5,,,
Ben Abel,AUS,male,40.0,,,,,
Matic Kotar,SLO,male,36.5,,,,,
Darius Râpă,ROU,male,35.5,35.0,70.5,,,
Xuanpu Bai,CHN,male,35.5,,,,,
Hyunseung Noh,KOR,male,35.5,42.0,77.5,,,
Dylan Smith,CAN,male,35.0,,,20.0,,17.3
Iman Arezeh,IRI,male,35.0,,,,,
Luka Sugimoto-Faulkner,NZL,male,33.0,,,,,
Alexandru-Florian Zaharia,ROU,male,30.4,,,,,
Sean Mccoll,CAN,male,29.0,29.0,29.0,,,
Michael O'Neill,IRL,male,27.5,1.0,28.5,,,
Max Thomas,AUS,male,27.0,,,17.0,,14.1
Yonatan Katz,ISR,male,27.0,,,,,
Jack Burningham,RSA,male,25.5,,,,,
Chua Dennis,SGP,male,23.7,,,,,
Marcello Bombardi,ITA,male,21.0,58.0,58.0,26.0,28.0,23.07
Dylan Soin,AUS,male,21.0,12.5,33.5,,,
Ian Tan,CAN,male,21.0,,,19.0,,15.81
Lasse Von Freier,GER,male,18.0,,,,,
Giorgio Tomatis,ITA,male,18.0,554.5,398.0,27.0,20.0,23.12
Dante Caballero,CHI,male,18.0,5.0,23.0,,,
Samuel Carlos Da Silva,BRA,male,17.5,10.0,27.5,,,
Lucas Trandafir,GER,male,17.5,,,23.0,,20.33
