name,country,gender,boulder_points,lead_points,combined_points
sorato ANRAKU,JPN,male,3835.0,2281.0,6508.0
dohyun LEE,KOR,male,3708.0,2123.0,4710.0
meichi NARASAKI,JPN,male,3055.0,,
sohta AMAGASA,JPN,male,2967.0,,
tomoa NARASAKI,JPN,male,2459.0,415.0,2860.0
sam AVEZOU,FRA,male,2068.0,2977.0,3848.0
toby ROBERTS,GBR,male,1995.0,2380.0,6180.0
mejdi SCHALCK,FRA,male,1753.0,738.0,1923.0
dayan AKHTAR,GBR,male,1556.0,,
maximillian MILNE,GBR,male,1528.0,75.0,1528.0
paul JENFT,FRA,male,1474.5,1200.0,3033.0
manuel CORNU,FRA,male,1405.0,,
ritsu KAYOTANI,JPN,male,1293.0,,
yuji FUJIWAKI,JPN,male,1291.0,,
anze PEHARC,SLO,male,1283.0,162.0,947.0
adam ONDRA,CZE,male,1185.0,1185.0,2918.0
jongwon CHON,KOR,male,1051.5,208.0,1084.5
thomas LEMAGNER,FRA,male,1050.5,,
yannick FLOHÉ,GER,male,893.0,943.0,2388.0
oscar BAUDRAND,CAN,male,864.0,449.0,998.0
colin DUFFY,USA,male,852.5,1610.0,3987.5
adam SHAHAR,USA,male,850.5,,
samuel RICHARD,FRA,male,847.0,,
alberto GINÉS LÓPEZ,ESP,male,831.0,1286.0,2579.0
jakob SCHUBERT,AUT,male,827.5,1000.0,3552.5
jan-luca POSCH,AUT,male,795.5,,
nikolay RUSEV,BUL,male,761.5,78.0,720.5
elias ARRIAGADA KRÜGER,GER,male,722.5,,
hannes VAN DUYSEN,BEL,male,658.0,553.0,1308.0
sascha LEHMANN,SUI,male,593.5,2068.0,2213.0
ardch INTRACHUPONGSE,THA,male,584.0,,
leo FAVOT,FRA,male,581.0,,
gregor VEZONIK,SLO,male,550.7,,
thorben perry BLOEM,GER,male,545.5,,
timotej ROMŠAK,SLO,male,531.5,,
yoshiyuki OGATA,JPN,male,513.2,1238.5,1441.2
oren PRIHED,ISR,male,508.0,,
satone YOSHIDA,JPN,male,502.0,2069.0,1896.5
nicolai UZNIK,AUT,male,467.5,158.0,467.5
nicolò SARTIRANA,ITA,male,461.7,,
hamish MCARTHUR,GBR,male,403.0,403.0,1766.0
alexander MEGOS,GER,male,378.0,1183.0,1883.0
yufei PAN,CHN,male,367.0,446.0,1320.0
charles BARRON,USA,male,362.0,,
benjamin HANNA,USA,male,359.5,6.7,363.2
julien CLÉMENCE,SUI,male,346.8,,
rei SUGIMOTO,JPN,male,325.0,,
nicolas COLLIN,BEL,male,321.0,243.0,378.0
kodai YAMADA,JPN,male,318.7,,
max KLEESATTEL,GER,male,317.0,,
guillermo PEINADO FRANGANILLO,ESP,male,294.5,848.0,1085.0
slav KIROV,BUL,male,288.0,27.0,315.0
edvards GRUZITIS,LAT,male,282.5,15.0,270.5
antoine GIRARD,FRA,male,275.0,,
luka POTOCAR,SLO,male,270.0,911.0,1413.0
matthew RODRIGUEZ,CAN,male,267.5,,
filip SCHENK,ITA,male,260.7,1123.0,969.7
ziqi XU,CHN,male,260.0,,
dylan PARKS,AUS,male,255.3,24.0,255.0
benjamin VARGAS,CHI,male,248.5,22.0,258.5
junzhe HU,CHN,male,236.5,69.3,302.5
malo GILLY-EYDOUX,AUS,male,225.0,,
nimrod MARCUS,ISR,male,222.5,216.0,222.5
yejun CHON,KOR,male,217.4,,
hugo HOYER,USA,male,217.2,22.0,232.7
andreas HOFHERR,AUT,male,216.5,,
simon LORENZI,BEL,male,201.5,168.0,201.5
ram LEVIN,ISR,male,191.0,,
ido FIDEL,ISR,male,185.7,,
luke GOH WEN BIN,SGP,male,181.0,4.0,178.0
jack MACDOUGALL,GBR,male,178.0,51.0,178.0
yannick NAGEL,GER,male,172.8,312.0,318.8
sam LAVENDER,AUS,male,171.0,,
diego LEQUERICA BUSCAGLIA,PER,male,160.0,,
adrien LEMAIRE,FRA,male,154.5,,
geva LEVIN,ISR,male,154.0,10.0,150.5
lukas MOKROLUSKY,CZE,male,151.5,15.5,167.0
yunchan SONG,KOR,male,151.0,151.0,151.0
campbell HARRISON,AUS,male,146.5,26.0,597.5
jiahao FU,CHN,male,145.0,,
christian WAGNER,CHI,male,141.7,,
aiden YANEV,AUS,male,138.0,,
bharath PEREIRA,IND,male,137.0,1.0,138.0
alexander WALLER,USA,male,130.0,,
ravianto RAMADHAN,INA,male,124.0,281.5,349.5
jonas UTELLI,SUI,male,116.0,1207.0,1119.0
louis FECHOZ,AUS,male,115.0,,
taiga SAKAMOTO,JPN,male,112.5,,
keita DOHI,JPN,male,111.0,,
cheuk-hei HO,HKG,male,111.0,,
chih-en FAN,TPE,male,109.3,90.0,192.3
stefano GHISOLFI,ITA,male,109.0,1069.0,1069.0
stefan SCHERZ,AUT,male,108.0,446.5,446.5
simon HIBBELER,USA,male,108.0,,
cheung-chi shoji CHAN,HKG,male,105.0,35.5,140.5
joaquin URRUTIA,CHI,male,104.5,23.0,124.5
noé MOUTAULT,FRA,male,104.0,,
maxim PARE,AUS,male,99.5,,
zan LOVENJAK SUDAR,SLO,male,99.0,31.0,99.0
kito MARTINI,FRA,male,96.5,,
hannes PUMAN,SWE,male,95.0,158.0,174.0
tim WÜRTHNER,GER,male,94.0,,
raffael GRUBER,AUT,male,85.7,,
niccolò antony SALVATORE,ITA,male,82.4,,
thor VILLEGAS GARCÍA,MEX,male,79.0,,
martin BERGANT,SLO,male,74.0,118.3,115.0
martin STRANIK,CZE,male,74.0,526.0,480.0
timo UZNIK,AUT,male,71.8,166.0,237.8
paul BRAND,NED,male,71.0,,
marley FARQUHARSON,AUS,male,69.0,,
rodrigo IASI HANADA,BRA,male,67.0,19.5,86.5
nathan MARTIN,LUX,male,61.2,,
jinwei YAO,CHN,male,61.0,55.0,116.0
chi-fung AU,HKG,male,58.0,,
joshua DAMASCO,AUS,male,57.0,,
simone MABBONI,ITA,male,57.0,,
raviandi RAMADHAN,INA,male,56.0,258.0,278.0
zach RICHARDSON,CAN,male,53.3,,
ka-chun YAU,HKG,male,53.0,,
hugo MARTÍN ÁLVAREZ,ESP,male,53.0,,
dillon COUNTRYMAN,USA,male,52.0,,
yuval SHEMLA,ISR,male,51.0,355.0,344.0
alex KHAZANOV,ISR,male,49.0,49.0,49.0
jesse RUFFINI,AUS,male,48.0,,
pietro VIDI,ITA,male,41.0,,
ronny ESCOBAR,CHI,male,41.0,,
guy MCNAMEE,CAN,male,40.5,2.0,42.5
ben ABEL,AUS,male,40.0,,
matic KOTAR,SLO,male,36.5,,
darius RÂPĂ,ROU,male,35.5,35.0,70.5
xuanpu BAI,CHN,male,35.5,,
hyunseung NOH,KOR,male,35.5,42.0,77.5
dylan SMITH,CAN,male,35.0,,
iman AREZEH,IRI,male,35.0,,
luka SUGIMOTO-FAULKNER,NZL,male,33.0,,
alexandru-florian ZAHARIA,ROU,male,30.4,,
sean MCCOLL,CAN,male,29.0,29.0,29.0
michael O'NEILL,IRL,male,27.5,1.0,28.5
max THOMAS,AUS,male,27.0,,
yonatan KATZ,ISR,male,27.0,,
jack BURNINGHAM,RSA,male,25.5,,
chua DENNIS,SGP,male,23.7,,
marcello BOMBARDI,ITA,male,21.0,58.0,58.0
dylan SOIN,AUS,male,21.0,12.5,33.5
ian TAN,CAN,male,21.0,,
lasse VON FREIER,GER,male,18.0,,
giorgio TOMATIS,ITA,male,18.0,554.5,398.0
dante CABALLERO,CHI,male,18.0,5.0,23.0
samuel carlos DA SILVA,BRA,male,17.5,10.0,27.5
lucas TRANDAFIR,GER,male,17.5,,
nimród sebestyén TUSNÁDY,HUN,male,17.0,17.3,20.3
tomer YAKOBOVITCH,ISR,male,17.0,,
ned MIDDLEHURST,AUS,male,17.0,,
samuel BUTTERWORTH,GBR,male,16.0,,
beomjin PARK,KOR,male,16.0,,
zach GALLA,USA,male,16.0,,
dragoș gabriel FLUERARU,ROU,male,16.0,,
ali SALIMIAN,IRI,male,15.9,,
seungchan CHOI,KOR,male,15.3,11.0,26.3
james POPE,GBR,male,15.0,15.0,15.0
sungjoon CHAE,KOR,male,14.8,,
julian WIMMER,AUT,male,14.0,,
ilja AUERSPERG,AUT,male,13.5,,
christopher COSSER,RSA,male,13.5,,
călin ENACHE,ROU,male,13.3,,
felipe HO FOGANHOLO,BRA,male,12.0,22.5,34.5
finlay CATE,NZL,male,12.0,,
peter KURIC,SVK,male,11.5,5.0,16.5
pietro BIAGINI,ITA,male,11.5,,
leonardo MAGALLANES TEJADA,MEX,male,11.0,,
qun tao KE,MAS,male,11.0,21.0,32.0
tzu-yu CHOU,TPE,male,11.0,10.0,21.0
jonas KÖRNER,GER,male,10.5,,
wan tong LOK,MAC,male,10.3,11.0,21.3
sungbo SEO,KOR,male,10.0,,
gerald BAYO VEROSIL,SGP,male,10.0,,
theis lindegren ELFENBEIN,DEN,male,9.0,,
mikel PAZ Y PUENTE HOFMANN,MEX,male,9.0,,
alexander t CVETKOVSKI,AUS,male,9.0,,
dohyeon KIM,KOR,male,8.7,,
julian SCHRITTWIESER,AUT,male,8.0,,
michael PICCOLRUAZ,ITA,male,7.4,,
taher ALHADDAD,KSA,male,7.2,8.0,15.2
