name,country,boulder_points,lead_points
natalia GROSSMAN,USA,2610.0,0.0
oceania MACKENZIE,AUS,2405.0,1272.0
mao NAKAMURA,JPN,2394.5,241.0
zélia AVEZOU,FRA,2387.0,1983.0
annie SANDERS,USA,2365.0,2590.0
erin MCNEICE,GBR,2262.5,2275.0
naïlé MEIGNAN,FRA,2175.0,0.0
anon MATSUFUJI,JPN,2123.0,0.0
janja GARNBRET,SLO,2000.0,3000.0
miho NONAKA,JPN,1739.0,893.0
chaehyun SEO,KOR,1598.0,3046.0
brooke RABOUTOU,USA,1545.0,1000.0
zhilu LUO,CHN,1503.0,1753.0
camilla MORONI,ITA,1306.5,694.0
futaba ITO,JPN,1303.5,953.0
melody SEKIKAWA,JPN,1303.0,0.0
oriane BERTONE,FRA,1260.0,48.0
agathe CALLIET,FRA,1247.0,0.0
jessica PILZ,AUT,1240.0,3220.0
jennifer eucharia BUCKLEY,SLO,1185.0,560.0
katja DEBEVEC,SLO,1145.0,27.0
anna maria APEL,GER,1134.0,0.0
madison RICHARDSON,CAN,948.2,0.0
lucia DÖRFFEL,GER,926.0,384.0
ayala KEREM,ISR,897.5,215.0
chloe CAULIER,BEL,824.5,93.5
fanny GIBERT,FRA,809.5,107.0
alma BESTVATER,GER,761.2,0.0
afra HÖNIG,GER,733.0,0.0
sofya YOKOYAMA,SUI,714.5,0.0
lucija TARKUS,SLO,644.0,770.0
ai MORI,JPN,636.7,2610.0
laura ROGORA,ITA,618.0,2543.0
ievgeniia KAZBEKOVA,UKR,618.0,686.0
kyra CONDIE,USA,601.8,242.0
stasa GEJO,SRB,596.0,345.0
mia KRAMPL,SLO,540.5,1828.0
franziska STERRER,AUT,540.0,119.0
kylie CULLEN,USA,515.5,46.0
giorgia TESIO,ITA,499.0,125.0
selma ELHADJ MIMOUNE,FRA,463.5,0.0
maya DREAMER,ISR,420.0,0.0
miku ISHII,JPN,390.8,0.0
yuetong ZHANG,CHN,371.5,1195.0
adriene akiko CLARK,USA,370.0,224.0
giulia MEDICI,ITA,350.7,0.0
hannah MEUL,GER,337.0,472.0
jain KIM,KOR,335.0,1338.0
natsumi HIRANO,JPN,326.5,0.0
valentina AGUADO,ARG,319.0,469.5
molly THOMPSON-SMITH,GBR,316.5,586.0
lucy GARLICK,GBR,282.8,0.0
maya STASIUK,AUS,278.8,275.0
andrea KÜMIN,SUI,264.3,0.0
lily ABRIAT,FRA,247.0,0.0
martina BURŠÍKOVÁ,SVK,244.5,32.0
roxana WIENAND,GER,235.5,38.0
manon HILY,FRA,223.0,1225.5
flavy COHAUT,FRA,199.0,0.0
johanna FÄRBER,AUT,189.0,0.0
ryu NAKAGAWA,JPN,173.5,344.0
summer FRASER,AUS,167.0,86.0
yejoo SEO,KOR,166.5,145.0
florence GRÜNEWALD,GER,163.8,0.0
yejin JUNG,KOR,162.5,0.0
nekaia SANDERS,USA,162.0,0.0
jacqueline HO,CAN,156.0,0.0
michaela SMETANOVA,CZE,152.0,421.0
hélène JANICOT,FRA,151.0,1473.0
anna LECHNER,GER,148.0,0.0
vita LUKAN,SLO,146.0,889.0
petra KLINGLER,SUI,140.5,118.0
manami YAMA,JPN,138.0,0.0
babette ROY,CAN,137.5,18.0
lucile SAUREL,FRA,134.0,0.0
sara COPAR,SLO,134.0,1194.5
sandra LETTNER,AUT,133.8,0.0
claire CHEFFINGS,AUS,132.0,0.0
flora OBLASSER,AUT,121.0,1590.0
lisa KLEM,NED,118.7,0.0
amber SCHIFFELEERS,NED,116.0,0.0
helen GILLETT,USA,114.0,14.0
gayeon CHO,KOR,112.5,235.0
kaho MURAKOSHI,JPN,111.0,0.0
lea KEMPF,AUT,108.0,0.0
rose WELLER,AUS,106.0,0.0
natalie GOH SIHUI,SGP,95.5,13.0
anna KELLEY,CAN,95.5,0.0
yui SUEZAWA,JPN,95.0,0.0
alejandra CONTRERAS,CHI,95.0,138.0
clea HALL,AUS,85.0,42.0
vanessa si yinn TENG,SGP,84.0,34.0
alannah YIP,CAN,81.0,60.0
