name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
sorato ANRAKU,JPN,male,3640.0,2971.0,6313.0,0,0,0.0
dohyun LEE,KOR,male,3183.0,2343.0,4320.0,0,0,0.0
meichi NARASAKI,JPN,male,2860.0,0.0,0.0,0,0,0.0
tomoa NARASAKI,JPN,male,2849.0,765.0,3600.0,0,0,0.0
sohta AMAGASA,JPN,male,2619.0,0.0,0.0,0,0,0.0
toby ROBERTS,GBR,male,2365.0,3380.0,6490.0,0,0,0.0
sam AVEZOU,FRA,male,2118.0,3059.0,3898.0,0,0,0.0
maximillian MILNE,GBR,male,1879.7,490.0,2061.7,0,0,0.0
jongwon CHON,KOR,male,1506.5,267.5,1534.5,0,0,0.0
manuel CORNU,FRA,male,1444.5,0.0,0.0,0,0,0.0
anze PEHARC,SLO,male,1414.7,162.0,1078.7,0,0,0.0
dayan AKHTAR,GBR,male,1376.0,0.0,0.0,0,0,0.0
ritsu KAYOTANI,JPN,male,1375.0,0.0,0.0,0,0,0.0
yuji FUJIWAKI,JPN,male,1341.0,0.0,0.0,0,0,0.0
hannes VAN DUYSEN,BEL,male,1243.0,1048.0,2388.0,8a,0,19.0
jakob SCHUBERT,AUT,male,1242.5,1000.0,3967.5,9a+,26,23.21
mejdi SCHALCK,FRA,male,1208.0,738.0,1523.0,9a+,10,23.33
adam ONDRA,CZE,male,1185.0,1185.0,2918.0,9c,388,25.54
paul JENFT,FRA,male,1019.5,1200.0,2673.0,9a,8,22.88
colin DUFFY,USA,male,975.0,1765.0,4110.0,9a,5,22.58
jan-luca POSCH,AUT,male,942.2,0.0,0.0,8c+,1,23.33
yannick FLOHÉ,GER,male,893.0,943.0,2388.0,9a+,12,23.56
thomas LEMAGNER,FRA,male,865.0,0.0,0.0,0,0,0.0
alberto GINÉS LÓPEZ,ESP,male,831.0,1286.0,2579.0,9a,14,22.62
adam SHAHAR,USA,male,786.5,0.0,0.0,0,0,0.0
nicolai UZNIK,AUT,male,727.5,158.0,692.5,8c+,2,21.56
sascha LEHMANN,SUI,male,719.2,2340.0,2378.0,9a,15,22.57
oscar BAUDRAND,CAN,male,709.0,449.0,998.0,0,0,0.0
satone YOSHIDA,JPN,male,687.0,2239.0,2067.0,0,0,0.0
samuel RICHARD,FRA,male,680.0,0.0,0.0,8c,0,21.5
elias ARRIAGADA KRÜGER,GER,male,674.5,0.0,0.0,0,0,0.0
yoshiyuki OGATA,JPN,male,644.8,1383.0,1483.3,0,0,0.0
nikolay RUSEV,BUL,male,587.5,78.0,624.0,9a+,7,23.0
ardch INTRACHUPONGSE,THA,male,571.5,0.0,0.0,0,0,0.0
gregor VEZONIK,SLO,male,550.7,0.0,0.0,9a,1,20.92
timotej ROMŠAK,SLO,male,531.5,0.0,0.0,0,0,0.0
nicolò SARTIRANA,ITA,male,441.7,0.0,0.0,0,0,0.0
nicolas COLLIN,BEL,male,425.7,291.0,528.7,7b,0,13.0
hamish MCARTHUR,GBR,male,403.0,403.0,1766.0,0,0,0.0
alexander MEGOS,GER,male,378.0,1183.0,1883.0,9a+,99,23.97
filip SCHENK,ITA,male,365.7,1203.0,1026.0,9a,13,22.36
julien CLÉMENCE,SUI,male,358.2,0.0,0.0,8c,0,19.91
kodai YAMADA,JPN,male,350.2,0.0,0.0,0,0,0.0
yufei PAN,CHN,male,343.0,446.0,1296.0,0,0,0.0
max KLEESATTEL,GER,male,331.0,0.0,0.0,0,0,0.0
ram LEVIN,ISR,male,326.0,0.0,0.0,8c,0,19.27
charles BARRON,USA,male,314.0,0.0,0.0,8b+,0,22.0
edvards GRUZITIS,LAT,male,297.0,23.0,278.5,0,0,0.0
nimrod MARCUS,ISR,male,290.5,275.5,350.0,0,0,0.0
slav KIROV,BUL,male,288.0,27.0,315.0,8b,0,18.94
