name,country,boulder_points,lead_points
sorato ANRAKU,JPN,3640.0,2971.0
dohyun LEE,KOR,3183.0,2343.0
meichi NARASAKI,JPN,2860.0,0.0
tomoa NARASAKI,JPN,2849.0,765.0
sohta AMAGASA,JPN,2651.0,0.0
toby ROBERTS,GBR,2365.0,3380.0
sam AVEZOU,FRA,2118.0,3059.0
maximillian MILNE,GBR,1879.7,490.0
ritsu KAYOTANI,JPN,1513.0,0.0
jongwon CHON,KOR,1506.5,267.5
manuel CORNU,FRA,1444.5,0.0
anze PEHARC,SLO,1414.7,162.0
dayan AKHTAR,GBR,1376.0,0.0
yuji FUJIWAKI,JPN,1341.0,0.0
hannes VAN DUYSEN,BEL,1243.0,1048.0
jakob SCHUBERT,AUT,1242.5,1000.0
mejdi SCHALCK,FRA,1208.0,738.0
adam ONDRA,CZE,1185.0,1185.0
paul JENFT,FRA,1019.5,1200.0
thomas LEMAGNER,FRA,1015.0,0.0
colin DUFFY,USA,975.0,1765.0
jan-luca POSCH,AUT,942.2,0.0
yannick FLOHÉ,GER,893.0,943.0
adam SHAHAR,USA,850.5,0.0
alberto GINÉS LÓPEZ,ESP,831.0,1286.0
oscar BAUDRAND,CAN,823.0,549.0
samuel RICHARD,FRA,755.0,0.0
nicolai UZNIK,AUT,727.5,158.0
sascha LEHMANN,SUI,719.2,2340.0
satone YOSHIDA,JPN,687.0,2239.0
elias ARRIAGADA KRÜGER,GER,674.5,0.0
yoshiyuki OGATA,JPN,644.8,1383.0
nikolay RUSEV,BUL,587.5,78.0
ardch INTRACHUPONGSE,THA,571.5,0.0
gregor VEZONIK,SLO,550.7,0.0
timotej ROMŠAK,SLO,531.5,0.0
nicolò SARTIRANA,ITA,441.7,0.0
nicolas COLLIN,BEL,425.7,291.0
hamish MCARTHUR,GBR,403.0,403.0
alexander MEGOS,GER,378.0,1183.0
filip SCHENK,ITA,365.7,1203.0
charles BARRON,USA,362.0,0.0
julien CLÉMENCE,SUI,358.2,0.0
kodai YAMADA,JPN,350.2,0.0
yufei PAN,CHN,343.0,446.0
max KLEESATTEL,GER,331.0,0.0
ram LEVIN,ISR,326.0,0.0
edvards GRUZITIS,LAT,297.0,23.0
nimrod MARCUS,ISR,290.5,275.5
slav KIROV,BUL,288.0,27.0
luka POTOCAR,SLO,286.0,1103.0
junzhe HU,CHN,268.0,78.7
jack MACDOUGALL,GBR,267.5,59.0
dylan PARKS,AUS,255.3,28.0
matthew RODRIGUEZ,CAN,255.0,0.0
simon LORENZI,BEL,253.5,192.0
benjamin VARGAS,CHI,248.5,117.0
mickael MAWEM,FRA,247.0,7.0
thorben perry BLOEM,GER,245.5,0.0
guillermo PEINADO FRANGANILLO,ESP,225.5,848.0
hugo HOYER,USA,225.2,168.0
malo GILLY-EYDOUX,AUS,225.0,69.0
benjamin HANNA,USA,214.5,6.7
ravianto RAMADHAN,INA,213.5,281.5
yejun CHON,KOR,210.0,0.0
yunchan SONG,KOR,190.5,184.0
ido FIDEL,ISR,185.7,0.0
luke GOH WEN BIN,SGP,179.8,15.0
yannick NAGEL,GER,172.8,312.0
sam LAVENDER,AUS,171.0,0.0
geva LEVIN,ISR,164.0,19.3
diego LEQUERICA BUSCAGLIA,PER,160.0,0.0
campbell HARRISON,AUS,160.0,131.0
antoine GIRARD,FRA,154.0,0.0
andreas HOFHERR,AUT,153.5,0.0
leo FAVOT,FRA,151.0,0.0
christian WAGNER,CHI,141.7,0.0
aiden YANEV,AUS,138.0,0.0
stefano GHISOLFI,ITA,120.3,1199.0
cheuk-hei HO,HKG,117.0,0.0
simon HIBBELER,USA,117.0,0.0
jonas UTELLI,SUI,116.0,1243.0
louis FECHOZ,AUS,115.0,121.0
taiga SAKAMOTO,JPN,112.5,0.0
keita DOHI,JPN,111.0,0.0
stefan SCHERZ,AUT,108.0,530.5
cheung-chi shoji CHAN,HKG,105.0,35.5
chih-en FAN,TPE,102.8,111.0
joaquin URRUTIA,CHI,101.5,215.0
maxim PARE,AUS,99.5,0.0
zan LOVENJAK SUDAR,SLO,99.0,31.0
kito MARTINI,FRA,96.5,0.0
hannes PUMAN,SWE,95.0,158.0
oren PRIHED,ISR,93.0,0.0
lasse VON FREIER,GER,86.0,0.0
thor VILLEGAS GARCÍA,MEX,79.0,16.0
martin BERGANT,SLO,78.0,122.0
raffael GRUBER,AUT,76.7,0.0
martin STRANIK,CZE,74.0,712.0
raviandi RAMADHAN,INA,72.0,258.0
timo UZNIK,AUT,71.8,166.0
rodrigo IASI HANADA,BRA,71.5,32.5
paul BRAND,NED,71.0,0.0
lukas MOKROLUSKY,CZE,69.5,15.5
nathan MARTIN,LUX,69.2,0.0
marley FARQUHARSON,AUS,69.0,0.0
bharath PEREIRA,IND,69.0,1.0
adrien LEMAIRE,FRA,65.0,0.0
